Unnamed: 0.1,Var1
721,INPP5J
722,INPPL1
723,IP6K1
724,IP6K2
725,IP6K3
726,IPMK
727,IREB2
728,ISYNA1
729,ITPA
730,ITPKA
731,ITPKB
732,ITPKC
733,IVD
734,KDSR
735,KHK
736,KMO
737,KYNU
738,LALBA
739,LCAT
740,LCT
741,LDHA
742,LDHAL6A
743,LDHAL6B
744,LDHB
745,LDHC
746,LDHD
747,LGALS13
748,LGSN
749,LIPC
750,LIPF
751,LIPG
752,LOC285216
753,LOC286297
754,LPL
755,LRAT
756,LSS
757,LTA4H
758,LTC4S
759,MAN1A1
760,MAN1A2
761,MAN1B1
762,MAN1C1
763,MAN2A1
764,MAN2A2
765,MAN2B1
766,MAN2C1
767,MANBA
768,MANSC1
769,MAOA
770,MAOB
771,MAT1A
772,MAT2A
773,MAT2B
774,MCAT
775,MCCC1
776,MCCC2
777,MCEE
778,MDH1
779,MDH1B
780,MDH2
781,ME1
782,ME2
783,ME3
784,MGAM
785,MGAT1
786,MGAT2
787,MGAT3
788,MGAT4A
789,MGAT4B
790,MGAT5
791,MGLL
792,MGST2
793,MGST3
794,MIOX
795,MLL3
796,MLYCD
797,MMAA
798,MOGAT1
799,MOGAT2
800,MOGS
801,MOXD1
802,MPI
803,MPO
804,MPST
805,MTAP
806,MTHFD1
807,MTHFD1L
808,MTHFD2
809,MTHFR
810,MTHFS
811,MTMR3
812,MTR
813,MUT
814,MVD
815,MVK
816,NADK
817,NADSYN1
818,NAGA
819,NAGK
820,NAGLU
821,NAGS
822,NANS
823,ND1
824,ND2
825,ND3
826,ND4
827,ND4L
828,ND5
829,ND6
830,NDST1
831,NDST2
832,NDST3
833,NDST4
834,NDUFA1
835,NDUFA10
836,NDUFA11
837,NDUFA12
838,NDUFA13
839,NDUFA2
840,NDUFA3
841,NDUFA4
842,NDUFA5
843,NDUFA6
844,NDUFA7
845,NDUFA8
846,NDUFA9
847,NDUFAB1
848,NDUFB1
849,NDUFB10
850,NDUFB2
851,NDUFB3
852,NDUFB4
853,NDUFB5
854,NDUFB6
855,NDUFB7
856,NDUFB8
857,NDUFB9
858,NDUFC1
859,NDUFC2
860,NDUFS1
861,NDUFS2
862,NDUFS3
863,NDUFS4
864,NDUFS5
865,NDUFS6
866,NDUFS7
867,NDUFS8
868,NDUFV1
869,NDUFV2
870,NDUFV3
871,NEU1
872,NEU2
873,NEU4
874,NME1
875,NME2
876,NME3
877,NME4
878,NME6
879,NME7
880,NMNAT1
881,NMNAT2
882,NMNAT3
883,NNMT
884,NNT
885,NOS1
886,NOS2
887,NOS3
888,NP
889,NPR1
890,NPR2
891,NSDHL
892,NSF
893,NT5C
894,NT5C1B
895,NT5C2
896,NT5C3
897,NT5E
898,NT5M
899,NUDT2
900,NUDT5
901,NUDT9
902,OAT
903,OCRL
904,ODC1
905,OGDH
906,OLAH
907,OPLAH
908,OTC
909,OXCT1
910,OXCT2
911,P4HA1
912,P4HA2
913,P4HB
914,PAFAH1B1
915,PAFAH1B2
916,PAFAH1B3
917,PAFAH2
918,PAH
919,PAICS
920,PANK1
921,PANK2
922,PANK3
923,PANK4
924,PAPSS1
925,PAPSS2
926,PC
927,PCBD1
928,PCCA
929,PCCB
930,PCK1
931,PCK2
932,PCYT1A
933,PCYT1B
934,PCYT2
935,PDE10A
936,PDE11A
937,PDE1A
938,PDE1B
939,PDE1C
940,PDE2A
941,PDE3A
942,PDE3B
943,PDE4A
944,PDE4B
945,PDE4C
946,PDE4D
947,PDE5A
948,PDE6A
949,PDE6B
950,PDE6C
951,PDE6D
952,PDE6G
953,PDE6H
954,PDE7A
955,PDE7B
956,PDE8A
957,PDE8B
958,PDE9A
959,PDHA1
960,PDHA2
961,PDHB
962,PDHX
963,PDXK
964,PDXP
965,PEMT
966,PFAS
967,PFKFB1
968,PFKFB2
969,PFKFB3
970,PFKFB4
971,PFKL
972,PFKM
973,PFKP
974,PGAM1
975,PGAM2
976,PGAP1
977,PGD
978,PGK1
979,PGK2
980,PGLS
981,PGM1
982,PGM2
983,PGM3
984,PGS1
985,PHGDH
986,PHOSPHO1
987,PHYH
988,PI4K2A
989,PI4KA
990,PI4KB
991,PIGA
992,PIGB
993,PIGC
994,PIGF
995,PIGG
996,PIGH
997,PIGK
998,PIGL
999,PIGM
1000,PIGN
1001,PIGO
1002,PIGP
1003,PIGQ
1004,PIGS
1005,PIGT
1006,PIGU
1007,PIGV
1008,PIGW
1009,PIGX
1010,PIGZ
1011,PIK3C2A
1012,PIK3C2B
1013,PIK3C2G
1014,PIK3C3
1015,PIK3CA
1016,PIK3CB
1017,PIK3CD
1018,PIK3CG
1019,PIK3R1
1020,PIK3R2
1021,PIK3R3
1022,PIK3R5
1023,PIKFYVE
1024,PIP4K2A
1025,PIP4K2B
1026,PIP4K2C
1027,PIP5K1A
1028,PIP5K1B
1029,PIP5K1C
1030,PIPOX
1031,PISD
1032,PKLR
1033,PKM2
1034,PLA2G10
1035,PLA2G12A
1036,PLA2G1B
1037,PLA2G2A
1038,PLA2G2D
1039,PLA2G2E
1040,PLA2G2F
1041,PLA2G3
1042,PLA2G4A
1043,PLA2G5
1044,PLA2G6
1045,PLA2G7
1046,PLCB1
1047,PLCB2
1048,PLCB3
1049,PLCB4
1050,PLCD1
1051,PLCD3
1052,PLCD4
1053,PLCE1
1054,PLCG1
1055,PLCG2
1056,PLCH1
1057,PLCH2
1058,PLCL1
1059,PLCXD2
1060,PLCZ1
1061,PLD1
1062,PLD2
1063,PLOD1
1064,PLOD2
1065,PLOD3
1066,PMM1
1067,PMM2
1068,PMVK
1069,PNLIP
1070,PNLIPRP1
1071,PNLIPRP2
1072,PNMT
1073,PNPLA4
1074,PNPO
1075,PPA1
1076,PPA2
1077,PPAP2A
1078,PPAP2B
1079,PPAP2C
1080,PPAT
1081,PPCDC
1082,PPCS
1083,PPOX
1084,PRDX1
1085,PRDX2
1086,PRDX3
1087,PRODH
1088,PRODH2
1089,PROSC
1090,PRPS1
1091,PRPS1L1
1092,PRPS2
1093,PSAT1
1094,PSPH
1095,PSPHL
1096,PTDSS1
1097,PTDSS2
1098,PTEN
1099,PTGDS
1100,PTGES
1101,PTGES2
1102,PTGIS
1103,PTGS1
1104,PTGS2
1105,PTS
1106,PYCR1
1107,PYCR2
1108,PYCRL
1109,PYGB
1110,PYGL
1111,PYGM
1112,QDPR
1113,QPRT
1114,RBKS
1115,RDH10
1116,RDH11
1117,RDH12
1118,RDH13
1119,RDH14
1120,RDH16
1121,RDH5
1122,RDH8
1123,RENBP
1124,RFK
1125,RHAG
1126,RHBG
1127,RPE
1128,RPIA
1129,RPN1
1130,RPN2
1131,RRM1
1132,RRM2
1133,RWDD2A
1134,SARDH
1135,SAT1
1136,SAT2
1137,SC4MOL
1138,SC5DL
1139,SCD
1140,SCLY
1141,SCP2
1142,SDHA
1143,SDHB
1144,SDHC
1145,SDHD
1146,SDR16C5
1147,SDS
1148,SEC11A
1149,SEC11C
1150,SEPHS1
1151,SEPHS2
1152,SETD7
1153,SETD8
1154,SETDB1
1155,SETDB2
1156,SGMS1
